on and off|negative
on & off|negative
leave me alone|negative
get it together|negative
dont give a damn|negative
don't give a damn|negative
dont give a dam|negative
don't give a dam|negative
have some respect|negative
god damn it|negative
so done with|negative
soo done with|negative
stand up comic|neutral
stand up comics|neutral
set top box|neutral
as well as|positive
give up on|negative
giving up on|negative
gave up on|negative
givin up on|negative
givin' up on|negative
piss me off|negative
pissed me off|negative
got locked out|negative
got locked out off|negative
get locked out|negative
get locked out off|negative
log in|neutral
logged in|neutral
logging in|neutral
was shutting down|negative
all i get|negative
pissing me off|negative
don't fall for|negative
cost a fortune|negative
costs a fortune|negative
costs me a fortune|negative
costing me a fortune|negative
costed me a fortune|negative
costs us a fortune|negative
costed us a fortune|negative
cost them a fortune|negative
costed them a fortune|negative
dont fall for|negative
is getting old|negative
is gettin old|negative
is getting really old|negative
is getting really really old|negative
piss me of|negative
pissed me of|negative
pissing me of|negative
piss us off|negative
pissed us off|negative
pissing us off|negative
piss us of|negative
pissed us of|negative
pissing us of|negative
a must try|positive
all time favorite|positive
all time favorites|positive
am going back|positive
am in love|positive
among the best|positive
attentive and friendly|positive
average at best|negative
best by far|positive
best kept secret|positive
better than average|positive
bit over priced|negative
by far the best|positive
ca n't beat|positive
not be beat|positive
ca n't go wrong|positive
ca n't recommend|negative
ca n't recommend|positive
ca n't wait|positive
very high price|negative
sucks big time|negative
can not wait|positive
cannot go wrong|positive
cant go wrong|positive
can not go wrong|positive
check it out|neutral
city 's best|positive
could be better|negative
cozy and romantic|positive
way to go|positive
kiss my ass|negative
kicking your ass|negative
kick their ass|negative
flashing red lights|negative
flashing redlights|negative
flashing red light|negative
leave me cold|negative
leaves me cold|negative
jack up rate|negative
wo n't buy|negative
will not buy|negative
do not buy|negative
big F you|negative
they are nuts|negative
big enough issue|negative
blood boil|negative
thanks for nothing|negative
thanks to you|positive
let us hang|negative
do business with|positive
hit-or-miss|negative
hit or miss|negative
never do business|negative
save the day|positive
charge you penalties|negative
do not rush|positive
done to perfection|positive
efficient and friendly|positive
enough good things|positive
enough great things|positive
excellent as well|positive
excited to try|positive
expensive but worth|positive
fall in love|positive
fast and friendly|positive
fell in love|positive
find it hard|negative
friendly and attentive|positive
friendly and efficient|positive
friendly and helpful|positive
friendly and prompt|positive
gem of a|positive
great as well|positive
had a blast|positive
have got to try|positive
have had better|negative
just as good|positive
just the right|positive
keeps getting better|positive
little more expensive|positive
little over priced|negative
little too loud|negative
location is great|positive
lot of fun|positive
lot of good|positive
lot of great|positive
lot of money|negative
lots of fun|positive
mediocre at best|negative
money 's worth|positive
money's worth|positive
more than adverse|negative
much much better|positive
my personal favorite|positive
not say enough|positive
never go back|negative
never go there|negative
never going back|negative
never had better|positive
no longer worth|negative
a fan|positive
hit the fan|negative
hits the fan|negative
out of park|positive
over the top|positive
pricey but worth|positive
prompt and friendly|positive
quick and friendly|positive
low quality|negative
save your money|negative
second to none|positive
so much fun|positive
so worth it|positive
something for everyone|positive
stay away from|negative
to die for|positive
took care of|positive
totally worth it|positive
treated like royalty|positive
got to try|positive
wait is worth|positive
want to impress|positive
warm and cozy|positive
warm and friendly|positive
warm and inviting|positive
warm and welcoming|positive
was worth it|positive
waste of money|negative
way over priced|negative
way too expensive|negative
yet to receive|negative
fades in and out|negative
kind of high|negative
will be back|positive
will be coming|positive
will be disappointed|negative
with a smile|positive
without being intrusive|positive
without being overbearing|positive
wont be disappointed|positive
not to mention|neutral
keep going up|negative
keeps going up|negative
went up|negative
worth the price|positive
worth the wait|positive
bait and switch|negative
drop the ball|negative
dropped the ball|negative
dropping the ball|negative
drops the ball|negative
out of business|negative
drive me nuts|negative
driving me nuts|negative
get away with|negative
lack of credibility|negative
less than excellent|negative
less than helpful|negative
pass the buck|negative
poor customer service|negative
rip me off|negative
rip them off|negative
rip us off|negative
sick and tired|negative
too much time|negative
worst way possible|negative
blew me off|positive
can not handle|negative
ca n't handle|negative
get rid of|negative
turn people away|negative
only redeeming factor|negative
terribly impressed|positive
give middle finger|negative
ca 'nt stand|negative
can not stand|negative
can 't stand|negative
care less|negative
date raped|negative
CAN T HANDLE|negative
piss me off|negative
piss them off|negative
genital herpes|negative
out of business|negative
nothing less satisfying|negative
nothing more satisfying|positive
keep fingers crossed|positive
strongly considering leaving|negative
jackng up prices|negative
jacked up prices|negative
TICKED me OFF|negative
tick me off|negative
takes lot away|negative
take a bow|neutral
had a blast|positive
is a joke|negative
such a joke|negative
dash the hopes|negative
the biggest joke|negative
is the joke|negative
do anything right|negative
STRONGLY object to|negative
bunch of shitheads|negative
let us down|negative
let me down|negative
let them down|negative
let her down|negative
do n't want|negative
do not want|negative
would n't want|negative
would not want|negative
driving me nuts|negative
late to help|negative
charge more|negative
are so pissed|negative
is a tease|negative
steal it away|negative
solid enough|positive
being a cocksucker|negative
you are mental|negative
cracking me up|positive
cracks me up|positive
refuse to give|negative
working properly|negative
you re mental|negative
that much trouble|negative
am sick of|negative
was excited until|negative
am a fan|positive
better watch out|negative
needs to gouge|negative
trying to ditch|negative
flash middle finger|negative
I was hooked|positive
we were hooked|positive
they were hooked|positive
shed no tears|negative
she was hooked|positive
such a shame|negative
bunch of pricks|negative
axe to grind|negative
