#attfail|negative
#fail|negative
#fuck|negative
fuqkn|negative
screwy|negative
cussed|negative
foul|negative
pamperedly|positive
aggression|negative
rupture|negative
scold|negative
unanswered|negative
originality|positive
superficially|negative
outwit|positive
lorn|negative
fatcat|negative
sputter|negative
immature|negative
sinking|negative
slothful|negative
befoul|negative
tantalizing|positive
leisurely|positive
irksomely|negative
disturb|negative
prize|positive
brutish|negative
stereotypical|negative
steadfastness|positive
flavorable|positive
non-violent|positive
inevitably|negative
mirage|negative
elegant|positive
rusty|negative
valiant|positive
rusts|negative
loathing|negative
haughtily|negative
errors|negative
ruthless|negative
bonuses|positive
resilient|positive
succumb|negative
insinuation|negative
hero|positive
jubilantly|positive
unseemly|negative
fissures|negative
shriek|negative
bullyingly|negative
doldrums|negative
revengefully|negative
uplifting|positive
unwillingness|negative
unfriendly|negative
controversy|negative
unwanted|negative
spotty|negative
criticism|negative
golden|positive
mawkishness|negative
stern|negative
scarier|negative
cheating|negative
catchy|positive
best-selling|positive
impartiality|positive
exhort|negative
glimmering|positive
cannibal|negative
strike|negative
perilously|negative
holy|positive
successful|positive
mesmerize|positive
hurt|negative
exuberantly|positive
exhorbitant|negative
irksome|negative
famed|positive
accomplishment|positive
sweeter|positive
invaluablely|positive
mindedness|negative
wane|negative
unjust|negative
organized|positive
diappointed|negative
malign|negative
dishearteningly|negative
reprove|negative
cocksucker|negative
preferably|positive
complaining|negative
damage|negative
vociferous|negative
preferable|positive
shirker|negative
dignified|positive
fanaticism|negative
beauty|positive
despondent|negative
modest|positive
unselfish|positive
extortion|negative
rejoicingly|positive
effective|positive
scourge|negative
wins|positive
revolt|negative
fictional|negative
sickening|negative
unlawfully|negative
horribly|negative
restriction|negative
welcomed|positive
soothingly|positive
fidelity|positive
wrought|negative
admirably|positive
wickedly|negative
unforeseen|negative
fib|negative
insubstantial|negative
admirable|positive
easier|positive
undercut|negative
glorify|positive
grievous|negative
ached|negative
enrich|positive
top-quality|positive
renunciation|negative
aspersions|negative
interrupt|negative
ebullient|positive
merrily|positive
dumps|negative
spotless|positive
averse|negative
addicted|negative
impossible|negative
ameliorate|positive
coupists|negative
misfortune|negative
touts|negative
indiscretion|negative
encourage|positive
outburst|negative
tingling|negative
fugitive|negative
obstructing|negative
cornerstone|positive
counter-attacks|positive
undisputably|positive
sickeningly|negative
rumple|negative
disturbed|negative
speedy|positive
tempting|positive
ineffectively|negative
mendacity|negative
undisputable|positive
relentlessness|negative
downheartedly|negative
angelic|positive
playfully|positive
clamorous|negative
screw-up|negative
clarity|positive
declaim|negative
traumatize|negative
tired|negative
outstandingly|positive
ambiguous|negative
master|positive
incognizant|negative
bitter|negative
shambles|negative
collapse|negative
enthrall|positive
snooty|negative
wisdom|positive
rectified|negative
positively|positive
