slows to a crawl|negative
slowed to a crawl|negative
slowing down to a crawl|negative
slows down to a crawl|negative
slowed down to a crawl|negative
video shoot|neutral
movie shoot|neutral
film shoot|neutral
movie shooting|neutral
film shooting|neutral
fashion shoot|neutral
wedding shoot|neutral
hung out to dry|negative
prime minister|neutral
chief minister|neutral
explosive win|positive
calm before the storm|positive
avoiding the real issue|negative
avoiding the real issue|negative
avoids the real issue|negative
avoid the real issue|negative
avoiding the real issues|negative
avoiding the real issues|negative
avoids the real issues|negative
avoid the real issues|negative
taken me by storm|positive
too bad you don't|negative
too bad i don't|negative
too bad we don't|negative
too bad you dont|negative
too bad i dont|negative
too bad we dont|negative
no longer worth it|negative
definitely not worth it|negative
little to be desired|negative
n't seem to care|negative
don't seem to care|negative
n't waste your money|negative
don't waste your money|negative
not a big fan|negative
not seem to care|negative
not waste your money|negative
one of the worst|negative
run of the mill|negative
worst i have ever|negative
have to try this|positive
icing on the cake|positive
knock your socks off|positive
more than makes up|positive
n't want to miss|positive
don't want to miss|positive
not want to miss|positive
one of the best|positive
one of the better|positive
out of this world|positive
pricey but well worth|positive
right on the money|positive
will not be dissapointed|positive
will not be sorry|positive
will not regret it|positive
wo n't be dissapointed|positive
wo n't be sorry|positive
wo n't regret it|positive
good but not worth|negative
hard not to like|positive
what's not to like|positive
whats not to like|positive
decent but not worth|negative
good but not great|negative
not be going back|negative
feel right at home|positive
attentive but not overbearing|positive
prompt and very friendly|positive
hands down the best|positive
not be going back|negative
n't be going back|negative
the place to go|positive
back again and again|positive
ca n't get enough|positive
dont waste your time|negative
dont waste your money|negative
n't all that great|negative
not all that great|negative
don't waste your time|negative
nothing to write home|negative
never had a bad|positive
ca n't get enough|positive
never been let down|positive
never had a problem|positive
nothing bad to say|positive
by far the worst|positive
n't waste your time|negative
don't waste your time|negative
not waste your time|negative
attentive without being bothersome|positive
by far the worst|negative
in for a treat|positive
yet to be disappointed|positive
rip your customer off|negative
ca n't go wrong|positive
this is the place|positive
out of the park|positive
out of the ballpark|positive
the only redeeming factor|negative
dislike you so much|negative
glad to be rid|negative
not been terribly impressed|negative
why the FUCK not|negative
gone into the toilet|negative
gone in the toilet|negative
give the middle finger|negative
like being date raped|negative
I could care less|negative
released from the clutches|negative
be out of business|negative
they do n't tell|negative
they do not tell|negative
thankful you do n't|negative
thankful you do not|negative
keeping my fingers crossed|positive
get your shit together|negative
would n't be shit|negative
shut off their service|negative
shut off my service|negative
shut off the service|negative
is like being date-raped|negative
have an edge over|positive
get this shit together|negative
takes a lot away|negative
takes away a lot|negative
is the biggest joke|negative
do anything right ?|negative
n't been happy with|negative
not been happy with|negative
going to save money|positive
no one can beat|positive
can not be beaten|positive
can 't be beat|positive
ca n't be beat|positive
cant get no better|positive
starting to get nervous|negative
needs to gouge you|negative
not want to have|negative
makes my blood boil|negative
makes me want to|positive
It is honestly captivating|positive
getting on my nerves|negative
getting under my skin|negative
I'll shed no tears|negative
will shed no tears|negative
kick back and relax|positive
kick back & relax|positive
blast from the past|positive
'll shed no tears|negative
cut that shit off|negative
not let us hand|negative
never do business with|negative
getting the job done|positive
jacked up the price|negative
jacked up their prices|negative
jacked up the fee|negative
jacked up their fee|negative
not holding my breath|negative
It is really captivating|positive
