rebooted|negative
gr8|positive
cool|positive
fast|positive
whack|negative
whacky|negative
wack|negative
wacky|negative
corny|negative
satiric|negative
phoneless|negative
0|negative|negative|
abandoned|negative|negative|
aberration|negative|negative|
abhorred|negative|negative|
abhorrent|negative|negative|
abhors|negative|negative|
abidance|positive|positive|
abject|negative|negative|
able|positive|positive|
abnormal|negative|negative|
abominable|negative|negative|
above-average|positive|positive|
abrasive|negative|negative|
abrupt|negative|negative|
absent|negative|negative|
absent-minded|negative|negative|
absolute|neutral|neutral|
absolutely|neutral|neutral|
absorbent|positive|positive|
absurd|negative|negative|
abundant|positive|positive|
abuse|negative|negative|
abuses|negative|negative|
abusive|negative|negative|
abysmal|negative|negative|
acceptable|positive|positive|
accessible|positive|positive|
accidental|negative|negative|
acclaimed|positive|positive|
accommodative|positive|positive|
accountable|negative|negative|
accurate|positive|positive|
accurately|positive|positive|
accursed|negative|negative|
accusation|negative|negative|
accusations|negative|negative|
accuse|negative|negative|
acerbic|negative|negative|
achievable|positive|positive|
acrid|negative|negative|
acrimonious|negative|negative|
active|neutral|positive|
activist|neutral|neutral|
actual|positive|positive|
adamant|negative|negative|
adaptable|positive|positive|
adaptive|positive|positive|
adept|positive|positive|
adequate|positive|positive|
adherent|positive|positive|
adhesive|positive|positive|
adjust|positive|positive|
adjustable|positive|positive|
admirable|positive|positive|
admiring|positive|positive|
admiringly|positive|positive|
admission|positive|positive|
adolescents|neutral|neutral|
adorable|positive|positive|
adored|positive|positive|
adoring|positive|positive|
adroit|positive|positive|
adroitly|positive|positive|
adulatory|positive|positive|
adult|positive|positive|
advance|positive|positive|
advanced|positive|positive|
advantage|positive|positive|
advantageous|positive|positive|
advantages|positive|positive|
adventure|positive|positive|
adventuresome|positive|positive|
adventurous|positive|positive|
adversarial|negative|negative|
adverse|negative|negative|
advice|positive|positive|
advisable|positive|positive|
affable|positive|positive|
affected|neutral|neutral|
affection|positive|positive|
affectionate|positive|positive|
affirmation|positive|positive|
afflictive|negative|negative|
affluent|positive|positive|
affordable|neutral|positive|
afloat|positive|positive|
afraid|negative|negative|
aggravating|negative|negative|
aggression|negative|negative|
aggressive|negative|negative|
aggrieved|negative|negative|
aghast|negative|negative|
agile|positive|positive|
agitated|negative|negative|
agonizing|negative|negative|
agreeable|positive|positive|
agreement|positive|positive|
aimless|negative|negative|
airs|negative|negative|
alarm|negative|negative|
alarmed|negative|negative|
alarming|negative|negative|
alert|neutral|neutral|
alienated|negative|negative|
alight|positive|positive|
alive|positive|positive|
all-time|neutral|neutral|
allegations|negative|negative|
allergic|negative|negative|
alliances|neutral|neutral|
allowable|positive|positive|
allusion|neutral|neutral|
almighty|positive|positive|
aloof|negative|negative|
altruistic|positive|positive|
altruistically|positive|positive|
amazed|positive|positive|
amazing|positive|positive|
ambiguous|negative|negative|
ambitious|positive|positive|
ambivalent|negative|negative|
amenable|positive|positive|
amiable|positive|positive|
amicable|positive|positive|
amity|positive|positive|
ample|positive|positive|
amply|positive|positive|
amusement|positive|positive|
amusing|positive|positive|
analytical|neutral|neutral|
anarchistic|negative|negative|
anemic|negative|negative|
angelic|positive|positive|
anger|negative|negative|
angry|negative|negative|
animated|positive|positive|
annoyed|negative|negative|
annoying|negative|negative|
anomalous|negative|negative|
antagonistic|negative|negative|
anti-American|negative|negative|
anti-Israeli|negative|negative|
anti-occupation|negative|negative|
anti-proliferation|negative|negative|
anti-Semites|negative|negative|
anti-social|negative|negative|
anti-US|negative|negative|
anti-white|negative|negative|
antiquated|negative|negative|
antithetical|negative|negative|
antitrust|negative|negative|
anxious|negative|negative|
apathetic|negative|negative|
apocalyptic|negative|negative|
apologist|negative|negative|
apologists|negative|negative|
apostle|positive|positive|
apotheosis|positive|positive|
appall|negative|negative|
appalled|negative|negative|
appalling|negative|negative|
appeal|positive|positive|
appealing|positive|positive|
appearance|neutral|neutral|
appoint|positive|positive|
appreciable|positive|positive|
appreciation|positive|positive|
appreciative|positive|positive|
apprehensions|negative|negative|
apprehensive|negative|negative|
appropriate|positive|positive|
approve|positive|positive|
apt|positive|positive|
arbitrary|negative|negative|
arcane|negative|negative|
archaic|negative|negative|
ardent|positive|positive|
arduous|negative|negative|
argument|negative|negative|
arguments|negative|negative|
arisen|positive|positive|
aristocratic|positive|positive|
arrest|negative|negative|
arresting|positive|positive|
arrogant|negative|negative|
articulate|positive|positive|
artificial|negative|negative|
ascendant|positive|positive|
ascertainable|positive|positive|
ashamed|negative|negative|
asinine|negative|negative|
aspirations|positive|positive|
assault|negative|negative|
assertions|positive|positive|
assertive|positive|positive|
assessment|neutral|neutral|
assessments|neutral|neutral|
assiduous|positive|positive|
associate|positive|positive|
assumption|neutral|neutral|
assurance|positive|positive|
assurances|positive|positive|
assure|positive|positive|
astonished|positive|positive|
astonishing|positive|positive|
astounded|positive|positive|
astounding|positive|positive|
astray|negative|negative|
astronomic|neutral|neutral|
astronomical|neutral|neutral|
astute|positive|positive|
asunder|negative|negative|
asylum|positive|positive|
athletic|positive|positive|
atrocious|negative|negative|
attainable|positive|positive|
attentive|positive|positive|
attitude|neutral|neutral|
attitudes|neutral|neutral|
attraction|positive|positive|
attractive|positive|positive|
attune|positive|positive|
audacious|negative|negative|
audible|positive|positive|
auspicious|positive|positive|
austere|negative|negative|
authentic|positive|positive|
authoritarian|negative|negative|
authoritative|positive|positive|
autocratic|negative|negative|
autonomous|positive|positive|
avalanche|negative|negative|
avaricious|negative|negative|
avariciously|negative|negative|
avid|positive|positive|
award|positive|positive|
aware|neutral|neutral|
awed|positive|positive|
awesome|positive|positive|
awestruck|positive|positive|
awful|negative|negative|
awkward|negative|negative|
baby|neutral|neutral|
backward|negative|negative|
bad|negative|negative|
badly|negative|negative|
baffled|negative|negative|
balanced|positive|positive|
ball|positive|positive|
balmy|positive|positive|
banal|negative|negative|
banish|negative|negative|
bankrupt|negative|negative|
barbarian|negative|negative|
barbaric|negative|negative|
barbarity|negative|negative|
barbarous|negative|negative|
bargain|positive|positive|
barren|negative|negative|
baseless|negative|negative|
bashful|negative|negative|
basic|positive|positive|
batons|neutral|neutral|
battered|negative|negative|
battering|negative|negative|
battle-lines|negative|negative|
battleground|negative|negative|
batty|negative|negative|
bearish|negative|negative|
beast|negative|negative|
beastly|negative|negative|
beat|negative|negative|
beauteous|positive|positive|
beautiful|positive|positive|
befitting|positive|positive|
beggarly|negative|negative|
begging|negative|negative|
belated|negative|negative|
belief|neutral|neutral|
beliefs|neutral|neutral|
believable|positive|positive|
belittled|negative|negative|
bellicose|negative|negative|
belligerent|negative|negative|
beloved|positive|positive|
bemoaning|negative|negative|
bemused|negative|negative|
beneficent|positive|positive|
beneficial|positive|positive|
beneficiary|positive|positive|
benefit|positive|positive|
benefits|positive|positive|
benevolent|positive|positive|
benign|positive|positive|
bent|negative|negative|
berserk|negative|negative|
beset|negative|negative|
best-known|positive|positive|
best-performing|positive|positive|
best-selling|positive|positive|
bestial|negative|negative|
better|positive|positive|
better-known|positive|positive|
better-than-expected|positive|positive|
bewildered|negative|negative|
bewildering|negative|negative|
bias|negative|negative|
biased|negative|negative|
biases|negative|negative|
bid-rigging|negative|negative|
big|neutral|neutral|
bitchy|negative|negative|
bite|negative|negative|
biting|negative|negative|
bitter|negative|negative|
bizarre|negative|negative|
black|neutral|negative|VH
blame|negative|negative|
blameless|positive|positive|
blameworthy|negative|negative|
bland|negative|negative|
blasphemous|negative|negative|
blatant|negative|negative|
blatantly|negative|negative|
