restart|negative
restarts|negative
rebooting|negative
crash|negative
crashed|negative
crashes|negative
crashing|negtaive
problem|negative
problema|negative
problemas|negative
problematic|negative
problemi|negative
problemm|negative
problems|negative
problemsrt|negative
problemss|negative
problemz|negative
trouble|negative
troubled|negative
troubleeeeeeeee|negative
troubles|negative
troubleshoot|negative
troubleshooti|negative
troubleshooting|negative
troublesome|negative
dropping|negative
dropped|negative
swine|negative
shitload|negative
assload|negative
ass|negative
asses|negative
bitch|negative
bitches|negative
fukton|negative
abandonment|negative|negative|
aberration|negative|negative|
abhorrence|negative|negative|
abhors|negative|negative|
abidance|positive|positive|
abilities|positive|positive|
ability|neutral|positive|
abomination|negative|negative|
absence|negative|negative|
absentee|negative|negative|
absorption|positive|positive|
absurdity|negative|negative|
absurdness|negative|negative|
abundance|positive|positive|
abuse|negative|negative|
abuses|negative|negative|
abyss|negative|negative|
acceptance|positive|positive|
accession|positive|positive|
accident|negative|negative|
acclaim|positive|positive|
acclamation|positive|positive|
accolade|positive|positive|
accolades|positive|positive|
accommodation|positive|positive|
accompaniment|positive|positive|
accomplishment|positive|positive|
accomplishments|positive|positive|
accordance|positive|positive|
accuracy|positive|positive|
accurateness|positive|positive|
accusation|negative|negative|
accusations|negative|negative|
achievement|positive|positive|
acknowledgement|positive|positive|
acquaintance|positive|positive|
acquittal|positive|positive|
acridness|negative|negative|
acrimony|negative|negative|
activist|neutral|neutral|
actuality|positive|positive|
acumen|positive|positive|
adaptability|positive|positive|
adaptation|positive|positive|
addict|negative|negative|
addiction|negative|negative|
adeptness|positive|positive|
adherence|positive|positive|
adhesion|positive|positive|
adjunct|positive|positive|
adjustment|positive|positive|
admiration|positive|positive|
admirer|positive|positive|
admission|positive|positive|
admittance|positive|positive|
admonition|negative|negative|
adolescents|neutral|neutral|
adorer|positive|positive|
adornment|positive|positive|
adulation|positive|positive|
adulteration|negative|negative|
adultery|negative|negative|
advance|positive|positive|
advancement|positive|positive|
advantage|positive|positive|
advantages|positive|positive|
advent|positive|positive|
adventure|positive|positive|
adventuresome|positive|positive|
adventurism|positive|positive|
adversary|negative|negative|
adversity|negative|negative|
advice|positive|positive|
advisable|positive|positive|
advocacy|positive|positive|
affability|positive|positive|
affectation|negative|negative|
affection|positive|positive|
affiliation|positive|positive|
affinity|positive|positive|
affirmation|positive|positive|
affirmative|positive|positive|
affliction|negative|negative|
affluence|positive|positive|
affront|negative|negative|
aggravation|negative|negative|
aggregate|positive|positive|
aggregation|positive|positive|
aggression|negative|negative|
aggressiveness|negative|negative|
aggressor|negative|negative|
agility|positive|positive|
agitation|negative|negative|
agitator|negative|negative|
agonies|negative|negative|
agony|negative|negative|
agreement|positive|positive|
aid|positive|positive|
ail|negative|negative|
ailment|negative|negative|
airs|negative|negative|
alertness|positive|positive|
alibi|negative|negative|
alien|negative|negative|
alienation|negative|negative|
all-time|neutral|neutral|
allegation|negative|negative|
allegations|negative|negative|
allegiance|positive|positive|
alliance|neutral|positive|
alliances|neutral|neutral|
allies|positive|positive|
allowance|positive|positive|
allure|positive|positive|
allusion|neutral|neutral|
ally|positive|positive|
altercation|negative|negative|
altruist|positive|positive|
amazement|positive|positive|
ambiguity|negative|negative|
ambitious|positive|positive|
ambivalent|negative|negative|
ambush|negative|negative|
amenity|positive|positive|
amiability|positive|positive|
amicability|positive|positive|
amity|positive|positive|
amnesty|positive|positive|
amour|positive|positive|
amusement|positive|positive|
anarchism|negative|negative|
anarchist|negative|negative|
anarchy|negative|negative|
angel|positive|positive|
anger|negative|negative|
anguish|negative|negative|
animosity|negative|negative|
annihilation|negative|negative|
annoyance|negative|negative|
anomaly|negative|negative|
antagonism|negative|negative|
antagonist|negative|negative|
anti-|negative|negative|
anti-American|negative|negative|
anti-Israeli|negative|negative|
anti-occupation|negative|negative|
anti-proliferation|negative|negative|
anti-Semites|negative|negative|
anti-US|negative|negative|
anti-white|negative|negative|
antipathy|negative|negative|
antithetical|negative|negative|
anxieties|negative|negative|
anxiety|negative|negative|
anxiousness|negative|negative|
apathetic|negative|negative|
apathy|negative|negative|
apocalypse|negative|negative|
apologist|negative|negative|
apologists|negative|negative|
apostle|positive|positive|
apotheosis|positive|positive|
appeal|positive|positive|
appearance|neutral|neutral|
applause|positive|positive|
appreciation|positive|positive|
apprehension|negative|negative|
apprehensions|negative|negative|
apprehensive|negative|negative|
approach|positive|positive|
approval|positive|positive|
aptitude|positive|positive|
arbiter|positive|positive|
arbitration|positive|positive|
ardor|positive|positive|
argument|negative|negative|
arguments|negative|negative|
aristocracy|positive|positive|
aristocrat|positive|positive|
arrogance|negative|negative|
art|neutral|positive|VH
ascendant|positive|positive|
ascertainable|positive|positive|
asinininity|negative|negative|
aspersion|negative|negative|
aspersions|negative|negative|
aspiration|positive|positive|
aspirations|positive|positive|
assailant|negative|negative|
assassin|negative|negative|
assault|negative|negative|
assent|positive|positive|
assertion|positive|positive|
assertions|positive|positive|
assessment|neutral|neutral|
assessments|neutral|neutral|
asset|positive|positive|
assist|positive|positive|
assistance|positive|positive|
assistant|positive|positive|
associate|neutral|positive|
association|positive|positive|
assumption|neutral|neutral|
assurance|positive|positive|
assurances|positive|positive|
astonishment|positive|positive|
asylum|positive|positive|
atrocities|negative|negative|
atrocity|negative|negative|
attachment|positive|positive|
attack|negative|negative|
attainment|positive|positive|
attendance|positive|positive|
attitude|neutral|neutral|
attitudes|neutral|neutral|
attraction|positive|positive|
attractive|positive|positive|
attractiveness|positive|positive|
audaciousness|negative|negative|
audacity|negative|negative|
augmentation|positive|positive|
authenticity|positive|positive|
authority|positive|positive|
autocrat|negative|negative|
autocratic|negative|negative|
availability|positive|positive|
avalanche|negative|negative|
avarice|negative|negative|
avenge|negative|negative|
aversion|negative|negative|
avoidance|negative|negative|
awareness|neutral|neutral|
awe|positive|positive|
awesomeness|positive|positive|
awfulness|negative|negative|
awkwardness|negative|negative|
baby|neutral|neutral|
back|positive|positive|
backbone|positive|positive|
backer|positive|positive|
backing|positive|positive|
backwardness|negative|negative|
bafflement|negative|negative|
ball|neutral|positive|
bandit|negative|negative|
bane|negative|negative|
banishment|negative|negative|
