dammit|negative
tampering|negative
jazzed|positive|
#attfail|negative|negative|
#fail|negative|negative|
#fuck|negative|negative|
2-faced|negative|negative|
2-faces|negative|negative|
a+|positive|positive|
abasement|negative|negative|
abhor|negative|negative|
abhorrently|negative|negative|
abide|positive|positive|
abominably|negative|negative|
abomination|negative|negative|
abort|negative|negative|
aborted|negative|negative|
aborts|negative|negative|
abounds|positive|positive|
above|positive|positive|
abruptly|negative|negative|
absence|negative|negative|
absentee|negative|negative|
absurdity|negative|negative|
absurdly|negative|negative|
absurdness|negative|negative|
abundance|positive|positive|
abused|negative|negative|
abysmally|negative|negative|
abyss|negative|negative|
abyssmal|negative|negative|
accessable|positive|positive|
acclamation|positive|positive|
accolade|positive|positive|
accolades|positive|positive|
accomadating|positive|positive|
accommodating|positive|positive|
accomodating|positive|positive|
accomodative|positive|positive|
accomplished|positive|positive|
accomplishment|positive|positive|
accomplishments|positive|positive|
accusing|negative|negative|
accusingly|negative|negative|
ached|negative|negative|
aches|negative|negative|
achey|negative|negative|
achievement|positive|positive|
achievements|positive|positive|
achievible|positive|positive|
aching|negative|negative|
acridly|negative|negative|
acridness|negative|negative|
acrimoniously|negative|negative|
acrimony|negative|negative|
actual|neutral|neutral|
actuality|neutral|neutral|
actually|neutral|neutral|
acumen|positive|positive|
adamantly|negative|negative|
addict|neutral|negative|
addicted|neutral|negative|
addicting|positive|negative|
addicts|neutral|negative|
adeqate|positive|positive|
admirable|positive|positive|
admirably|positive|positive|
admiration|positive|positive|
admirer|positive|positive|
admittedly|positive|positive|
admonisher|negative|negative|
admonishingly|negative|negative|
admonishment|negative|negative|
admonition|negative|negative|
adorer|positive|positive|
adoringly|positive|positive|
adrift|negative|negative|
adulation|positive|positive|
adulterated|negative|negative|
adulteration|negative|negative|
adulterier|negative|negative|
advantageously|positive|positive|
adventerous|positive|positive|
adversary|negative|negative|
adversity|negative|negative|
advocated|positive|positive|
advocates|positive|positive|
affability|positive|positive|
affectation|positive|positive|
affinity|positive|positive|
affirmative|positive|positive|
affliction|negative|negative|
affluence|positive|positive|
affordably|positive|positive|
afordable|positive|positive|
against|negative|negative|
aggravation|negative|negative|
aggressive|negative|negative|
aggressiveness|negative|negative|
aggressor|negative|negative|
aggrivation|negative|negative|
agility|positive|positive|
agonies|negative|negative|
agonizing|negative|negative|
agonizingly|negative|negative|
agony|negative|negative|
agreeability|positive|positive|
agreeable|positive|positive|
agreeableness|positive|positive|
agreeably|positive|positive|
aground|negative|negative|
aha|neutral|neutral|
ailing|negative|negative|
ailment|negative|negative|
alarmingly|negative|negative|
alas|negative|negative|
alert|positive|positive|
alienation|negative|negative|
all-around|positive|positive|
allegation|negative|negative|
allergies|negative|negative|
allergy|negative|negative|
alliance|neutral|neutral|
alluring|positive|positive|
alluringly|positive|positive|
allusions|neutral|neutral|
alot|positive|positive|
aloud|positive|positive|
altercation|negative|negative|
although|negative|negative|
altogether|neutral|neutral|
amateurish|negative|negative|
amazement|positive|positive|
amazes|positive|positive|
amazing|positive|positive|
amazingly|positive|positive|
ambiguity|negative|negative|
ambitiously|positive|positive|
ambivalence|negative|negative|
amenity|positive|positive|
amiability|positive|positive|
amicability|positive|positive|
amiss|negative|negative|
Amused|positive|positive|
amusing|positive|positive|
amusingly|positive|positive|
anarchism|negative|negative|
anarchist|negative|negative|
anarchy|negative|negative|
angel|positive|positive|
angrily|negative|negative|
angriness|negative|negative|
animosity|negative|negative|
annihilation|negative|negative|
annoyance|negative|negative|
annoyances|negative|negative|
annoying|negative|negative|
annoyingly|negative|negative|
annoys|negative|negative|
anomaly|negative|negative|
antagonism|negative|negative|
antagonist|negative|negative|
anti-|negative|negative|
antipathy|negative|negative|
anxieties|negative|negative|
anxiety|negative|negative|
anxious|negative|negative|
anxiously|negative|negative|
anxiousness|negative|negative|
anyhow|neutral|neutral|
anyway|neutral|neutral|
anyways|neutral|neutral|
apathy|negative|negative|
